"branch_id","branch_name","branch_desc"
"88824",ฝ่ายบริหาร NPA,ฝ่ายบริหาร NPA
"88825",ฝ่ายบริหารความเสี่ยง,ฝ่ายบริหารความเสี่ยง
"88826",ฝ่ายพัฒนาธุรกิจเงินฝาก,ฝ่ายพัฒนาธุรกิจเงินฝาก
"88827",ฝ่ายลูกค้าสัมพันธ์,ฝ่ายลูกค้าสัมพันธ์
"88828",ฝ่ายบริหารการเงิน,ฝ่ายบริหารการเงิน
"88829",ฝ่ายบังคับคดีและหนี้ส่วนขาด,ฝ่ายบังคับคดีและหนี้ส่วนขาด
"88830",ฝ่ายจัดหาและการพัสดุ,ฝ่ายจัดหาและการพัสดุ
"88831",ฝ่ายสื่อสารองค์กร,ฝ่ายสื่อสารองค์กร
"88832",ฝ่ายนโยบายสินเชื่อธุรกิจและภาครัฐ,ฝ่ายนโยบายสินเชื่อธุรกิจและภาครัฐ
"88833",ฝ่ายปฏิบัติการบริการอิเล็กทรอนิกส์,ฝ่ายปฏิบัติการบริการอิเล็กทรอนิกส์
"88834",ฝ่ายบริหารหนี้ภูมิภาค,ฝ่ายบริหารหนี้ภูมิภาค
"88835",ฝ่ายกำกับการปฏิบัติงาน,ฝ่ายกำกับการปฏิบัติงาน
"88836",ฝ่ายตรวจสอบระบบเทคโนโลยีสารสนเทศ,ฝ่ายตรวจสอบระบบเทคโนโลยีสารสนเทศ
"88837",ฝ่ายพัฒนาธุรกิจสินเชื่อ,ฝ่ายพัฒนาธุรกิจสินเชื่อ
"88839",ศูนย์ความมั่นคงปลอดภัยด้าน IT,ศูนย์ความมั่นคงปลอดภัยด้าน IT
"88840",ฝ่ายกิจกรรมเพื่อสังคม,ฝ่ายกิจกรรมเพื่อสังคม
"88841",ฝ่ายสอบทานสินเชื่อ,ฝ่ายสอบทานสินเชื่อ
"88842",ฝ่ายพัฒนาและบริหารการเรียนรู้,ฝ่ายพัฒนาและบริหารการเรียนรู้
"88843",ฝ่ายธนบดีธนกิจ,ฝ่ายธนบดีธนกิจ
"88844",ฝ่ายพัฒนากระบวนงาน,ฝ่ายพัฒนากระบวนงาน
"88845",ฝ่ายประเมินผลองค์กร,ฝ่ายประเมินผลองค์กร
"88846",ฝ่ายตรวจสอบสำนักงานใหญ่,ฝ่ายตรวจสอบสำนักงานใหญ่
"88847",ฝ่ายสาขา กทม.และปริมณฑล 2,ฝ่ายสาขา กทม.และปริมณฑล 2
"88848",ภาคตะวันออกเฉียงเหนือตอนบน,ภาคตะวันออกเฉียงเหนือตอนบน
"88849",ภาคกลางและภาคใต้ตอนบน,ภาคกลางและภาคใต้ตอนบน
"88850",ศูนย์ป้องกันการทุจริต,ศูนย์ป้องกันการทุจริต
"88860",ศูนย์ข้อมูลอสังหาริมทรัพย์,ศูนย์ข้อมูลอสังหาริมทรัพย์
"99906",Calendar Branch 6 Days,ปฏิทินสาขา 6 วัน
"99907",Calendar Branch 7 Days,ปฏิทินสาขา 7 วัน
"99908",Calendar Branch Special,ปฏิทินสาขาพิเศษ
"70800",สาขาเบตง,สาขาเบตง
"26300",PREMIER SERVICE CENTER (ศูนย์ PSC),PREMIER SERVICE CENTER (ศูนย์ PSC)
"78033",ศูนย์ DEC - เชียงราย,ศูนย์ DEC - เชียงราย
"78021",ศูนย์ DEC - นครหลวง,ศูนย์ DEC - นครหลวง
"78031",ศูนย์ DEC - เชียงใหม่,ศูนย์ DEC - เชียงใหม่
"78032",ศูนย์ DEC - พิษณุโลก,ศูนย์ DEC - พิษณุโลก
"78481",ศูนย์ DEC - นครราชสีมา,ศูนย์ DEC - นครราชสีมา
"78482",ศูนย์ DEC - อุดรธานี,ศูนย์ DEC - อุดรธานี
"78041",ศูนย์ DEC - ชลบุรี,ศูนย์ DEC - ชลบุรี
"78042",ศูนย์ DEC - อยุธยา,ศูนย์ DEC - อยุธยา
"78491",ศูนย์ DEC - สมุทรสาคร,ศูนย์ DEC - สมุทรสาคร
"78492",ศูนย์ DEC - สุราษฎร์ธานี,ศูนย์ DEC - สุราษฎร์ธานี
"78493",ศูนย์ DEC - หาดใหญ่,ศูนย์ DEC - หาดใหญ่
"88856",ฝ่ายวางแผนกลยุทธ์และสนับสนุนงานสารสนเทศ,ฝ่ายวางแผนกลยุทธ์และสนับสนุนงานสารสนเทศ
"88857",ฝ่ายกฎหมาย,ฝ่ายกฎหมาย
"77035",สำนักงานเขตลำปาง,สำนักงานเขตลำปาง
"77046",สำนักงานเขตฉะเชิงเทรา,สำนักงานเขตฉะเชิงเทรา
"77485",สำนักงานเขตสกลนคร,สำนักงานเขตสกลนคร
"78483",ศูนย์ DEC -อุบลราชธานี,ศูนย์ DEC -อุบลราชธานี
"78022",ศูนย์บริการนครหลวง,ศูนย์บริการนครหลวง
"21900",สาขาเดอะมอลล์บางกะปิ,สาขาเดอะมอลล์บางกะปิ
"26400",สาขาบิ๊กซีบางปะกอก,สาขาบิ๊กซีบางปะกอก
"26500",สาขาบิ๊กซี บางนา,สาขาบิ๊กซี บางนา
"22000",สาขาเดอะมอลล์ งามวงศ์วาน,สาขาเดอะมอลล์ งามวงศ์วาน
"8401",ศูนย์บริการธนาคาร (OSS) นครนายก,ศูนย์บริการธนาคาร (OSS) นครนายก
"50300",สาขานครชัยศรี,สาขานครชัยศรี
"88858",ฝ่ายธุรกรรมตลาดรองสินเชื่อที่อยู่อาศัย,ฝ่ายธุรกรรมตลาดรองสินเชื่อที่อยู่อาศัย
"88859",ฝ่ายสนับสนุนบริหารตลาดรองสินเชื่อที่อยู่อาศัย,ฝ่ายสนับสนุนบริหารตลาดรองสินเชื่อที่อยู่อาศัย
"22100",สาขาไอทีสแควร์,สาขาไอทีสแควร์
"19700",ศูนย์บริการดิจิทัล (DSC),ศูนย์บริการดิจิทัล (DSC)
